pattern,invoice_id,coverage,product_code,quantity,completion
*TW-632!,DOC-02369,18.4%,80TQ-SA,1010,7%
!AR-865*,DOC-02370,5.5%,PL7A-B2,553,26%
!QS-317*,,34.7%,W4JJ-K3,,85%
!QT-300!,DOC-02372,12.9%,B2H3-EJ,1999,
*XG-068*,DOC-02373,43.6%,MQT7-W5,944,6%
!JT-888*,DOC-02374,93.8%,H379-UU,768,61%
!XI-987*,DOC-02375,25.9%,QAY1-18,1810,62%
!KL-299*,DOC-02376,26.6%,MFUO-V5,1188,
!FV-216!,DOC-02377,32.6%,NTZF-8P,2211,36%
!VZ-254*,DOC-02378,42.8%,LGY3-6R,1376,12%
*FF-181!,DOC-02379,,OG56-1K,1884,58%
!KN-543*,DOC-02380,79.3%,Z4IX-H8,731,68%
!QO-296*,DOC-02381,28.8%,WC4O-VE,1537,53%
!ID-024!,DOC-02382,37.9%,,871,11%
*WL-901!,DOC-02383,21.4%,79Y3-LU,,83%
*CB-376*,DOC-02384,5.2%,MD73-14,1734,75%
!XR-004*,,7.6%,FQDZ-TL,1920,38%
*MW-085!,DOC-02386,26.5%,4AE4-9A,2029,63%
!MR-487*,DOC-02387,11.9%,XEDT-Y8,,20%
*KC-703*,DOC-02388,14.4%,JS2H-6H,,38%
*RE-450!,DOC-02389,96.9%,UQYH-FP,436,13%
!YF-552!,DOC-02390,78.7%,,1600,34%
!PP-968*,,23.2%,8UBB-WQ,530,22%
,DOC-02392,75.9%,E99I-G3,2231,28%
*QU-632*,DOC-02393,47.5%,2WD7-97,897,76%
*PN-178*,DOC-02394,44.0%,,1649,19%
*ZR-810!,DOC-02395,72.2%,D5VW-M0,898,61%
!BG-965!,DOC-02396,74.1%,S87S-X7,727,
!LD-410!,DOC-02397,2.1%,4X7L-IV,456,32%
*QI-606*,DOC-02398,93.9%,XDQU-GO,627,46%
*AO-733!,DOC-02399,38.3%,4MHU-V2,415,46%
!YE-852!,,58.8%,JAEV-EN,621,43%
!JU-651*,DOC-02401,,G4W3-07,447,68%
*ZH-548!,DOC-02402,,JELN-U5,717,82%
!QW-084*,DOC-02403,57.8%,7ZF5-PX,698,38%
*DZ-324*,DOC-02404,30.5%,NRRO-7L,1667,97%
*LM-293!,DOC-02405,79.2%,LHJE-S3,884,62%
!PA-491*,DOC-02406,24.4%,2C19-P6,,44%
*JH-165!,DOC-02407,23.2%,3C09-B6,369,64%
!XS-698*,DOC-02408,0.9%,ZA8I-CX,1872,41%
*KC-123!,DOC-02409,40.9%,H0JO-XC,883,
