units,recorded_on,portion,count,part_ratio
1749,,13/17,954,6/9
1602,13/02/2024,4/10,313,3/4
606,17/07/2024,7/26,1818,6/10
718,06/07/2024,9/10,925,2/9
690,24/01/2024,6/15,2415,6/9
,27/03/2024,7/8,1581,5/7
968,17/12/2024,17/21,1486,1/2
1446,06/07/2024,6/27,2957,5/12
1463,30/10/2024,10/27,1392,
1815,18/12/2024,3/12,1110,5/11
1566,18/07/2024,16/21,1971,2/7
1875,08/10/2024,8/22,2169,1/2
1588,27/05/2024,11/17,689,2/3
1598,24/09/2024,4/24,2794,3/6
499,20/03/2024,13/19,342,5/10
1330,31/10/2024,12/22,501,2/9
1991,14/12/2024,8/22,1819,5/9
881,17/03/2024,10/16,1328,11/12
1649,04/03/2024,2/17,1529,10/12
1292,01/07/2024,6/21,2025,3/8
1879,01/05/2024,13/16,1918,2/7
410,01/12/2024,1/23,2435,3/10
395,08/01/2024,6/7,1577,9/12
1603,08/04/2024,16/24,2881,4/12
554,29/05/2024,11/18,1109,10/12
798,19/05/2024,8/19,588,
1477,30/04/2024,14/24,1716,6/12
648,08/04/2024,9/24,1665,4/8
496,03/09/2024,6/22,544,7/8
1355,02/01/2024,11/22,2692,
1025,25/07/2024,11/21,1763,10/12
1247,26/04/2024,15/23,1862,2/9
476,,4/5,2492,3/12
751,25/08/2024,13/28,524,4/7
1564,,15/25,2212,6/12
1583,07/02/2024,1/16,2061,4/11
912,02/01/2024,1/7,1269,3/8
377,29/04/2024,1/9,1363,3/4
639,26/09/2024,12/24,1110,2/12
1593,30/01/2024,11/22,740,9/12
1936,08/06/2024,8/13,956,2/6
1349,29/11/2024,7/13,441,4/10
382,15/01/2024,9/21,903,9/10
423,23/01/2024,4/28,1013,1/7
875,07/02/2024,7/11,384,9/10
601,24/03/2024,2/18,965,11/12
321,11/07/2024,8/15,2173,2/12
782,21/04/2024,16/17,2597,3/6
1118,10/09/2024,1/24,2790,11/12
884,08/04/2024,1/24,1216,6/10
2015,07/07/2024,17/18,2437,1/4
327,13/09/2024,7/10,2922,3/4
1279,08/03/2024,17/24,2305,11/12
468,06/06/2024,3/11,1997,6/10
