composition,product_code,utilization,units,utilization_5,notes,asset_code,created_at,tag_code,issue_date,product_code_11
,H72/004,21.85%,2577,57.4%,Amber compliance prime tracking global tracking,T2EN-TH,26/07/2024,GP_RQ8U,09/03/2023,JUD9/0F
9/15,OCL/IV8,65.77%,2186,44.2%,Amber tracking vector scheduling vector evaluation rapid consolidated,H4WH-4A,19/10/2024,1I_FKD6,16/10/2023,RC6S/IX
7/12,Q9A/RHC,96.32%,2312,,Global planning amber analysis vector documented silver consolidated prime consolidated amber operation clear,AJ92-HA,,V5_52ZG,05/12/2023,NCQQ/2P
,B4K/H5S,52.51%,2584,13.6%,Amber scheduling amber inspection clear allocation metro distribution metro planning silver,ICRH-JF,18/02/2024,Q3_Q6P8,04/10/2023,
4/15,X5N/2L6,6.40%,2269,68.3%,Prime baseline signal consolidated delta distribution silver evaluation north planning,QCCG-F8,19/05/2024,Z3_MIVS,24/02/2023,GKB2/UO
5/8,P42/P8X,4.61%,1640,70.5%,Silver documented rapid evaluation vector baseline metro,MUWP-LF,22/05/2024,TG_JCVP,25/06/2023,L299/TK
10/11,0WE/X8Y,92.69%,1518,15.2%,Urban planning metro documented signal tracking amber compliance,SBTM-T5,09/08/2024,,28/01/2023,AP62/6N
3/13,2JP/343,63.83%,2327,33.1%,Delta scheduling clear distribution amber scheduling delta documented silver tracking global planning amber,C4W5-61,30/05/2024,BB_JVAJ,09/04/2023,2IDD/X9
8/9,1V9/VU1,50.95%,1431,67.0%,Vector inspection urban baseline amber analysis signal tracking silver,ZNY1-NY,30/01/2024,4I_E65N,29/08/2023,CE7O/8S
4/9,CG0/9CJ,62.38%,411,69.8%,Metro reference urban baseline vector workflow delta workflow,LRY1-IK,20/07/2024,8Y_P4F3,20/04/2023,XF3X/WT
8/12,C8F/DN6,34.47%,,52.2%,Signal reference signal planning silver tracking rapid reference,KMI0-WR,29/10/2024,,05/08/2023,M6T9/8R
,E2G/8TS,8.52%,1115,75.7%,Metro planning clear allocation metro tracking urban tracking signal,7NPB-BG,15/11/2024,GC_MEHH,27/06/2023,
3/13,AD2/P6Q,76.55%,,29.3%,Delta baseline urban consolidated rapid distribution clear compliance silver operation,LDB6-YD,09/03/2024,,12/02/2023,0QMB/8S
5/12,G6Z/NZL,14.26%,2031,6.9%,Metro analysis signal documented prime baseline vector tracking amber scheduling global documented global analysis,YQZ6-KU,16/04/2024,GN_DCZ3,14/01/2023,ZLXS/T9
8/11,ZTS/D9B,72.09%,2393,8.5%,Urban reference rapid scheduling global capacity north,JE5J-0T,25/04/2024,K6_UFX2,08/01/2023,RMPF/0L
10/14,8YB/HJT,,2472,93.3%,Delta compliance vector evaluation global allocation,U262-0H,12/12/2024,EQ_W7M9,28/11/2023,LHTS/T3
10/12,Z2P/UGM,43.57%,895,53.4%,Silver scheduling vector workflow metro documented silver capacity prime,LV32-87,24/05/2024,AU_8J1T,17/04/2023,HV26/RZ
6/8,,46.61%,2366,78.0%,Urban analysis rapid workflow global analysis signal inspection silver planning urban analysis,3VHL-FL,23/08/2024,,26/01/2023,S4A8/3L
5/11,GNT/T4X,62.57%,684,59.5%,Signal reference amber operation silver capacity north compliance delta baseline global scheduling,TFSI-NL,18/11/2024,IB_8DWS,30/01/2023,T9HJ/EM
4/12,QLC/A86,67.89%,2026,98.1%,Prime analysis delta analysis north evaluation,EHKW-3G,,DA_UGXA,26/03/2023,DLGA/7K
6/9,40M/3V1,55.43%,1278,,Clear reference rapid tracking urban allocation,PEPJ-TD,16/06/2024,HE_JS89,04/10/2023,DLLJ/DX
5/9,DV2/VL2,97.16%,,54.6%,North reference rapid distribution prime operation silver,77OS-VZ,08/09/2024,LY_8T92,17/11/2023,OLBH/LC
4/6,TMY/B6N,64.81%,2333,82.9%,Silver baseline north allocation amber reference amber analysis silver capacity amber,B4NR-WA,29/09/2024,FI_FN19,23/06/2023,
10/15,BBE/II0,14.33%,354,30.7%,Signal tracking north scheduling rapid evaluation rapid,VMJE-0C,10/08/2024,H5_I1KE,02/04/2023,RM4F/BK
2/11,DP6/QUH,65.68%,,7.6%,Delta inspection metro baseline silver operation,L8E1-J2,21/10/2024,3R_2WCS,10/07/2023,UJ5Q/22
5/7,9Y1/YYD,93.77%,336,33.7%,North scheduling vector tracking global allocation silver reference silver consolidated amber consolidated amber,AATX-O3,25/05/2024,71_QSYT,23/09/2023,5JS5/HU
8/12,YYC/7OI,22.59%,,,Clear compliance rapid allocation signal planning clear allocation,TK8U-ZD,23/11/2024,SI_EYH7,22/06/2023,E9N2/Z6
7/11,B1M/QEI,39.12%,2791,82.6%,Metro consolidated urban baseline north evaluation metro reference metro scheduling signal distribution,QR2W-66,03/09/2024,53_Z5ZM,12/05/2023,S6AP/G7
10/15,NHF/WUQ,30.15%,,17.9%,Rapid reference vector compliance signal tracking metro compliance urban scheduling silver documented metro,064M-7K,30/09/2024,CN_FP41,03/09/2023,KQQR/11
5/7,3SI/8M1,25.20%,1949,17.8%,Vector scheduling delta allocation rapid consolidated,C6US-FA,25/12/2024,YS_6JEA,13/01/2023,7O1K/QS
1/10,W2J/L9O,37.14%,2741,38.5%,Prime allocation global capacity north reference,PBZ3-N5,20/05/2024,O5_75UV,28/01/2023,UIOU/CL
,199/Y45,93.84%,,55.7%,Signal scheduling silver capacity clear baseline vector tracking delta analysis delta documented,OYBQ-62,13/11/2024,T4_GB09,21/01/2023,OERJ/85
,OGZ/MM7,98.44%,1067,,Metro reference urban tracking signal analysis rapid analysis metro,PHBD-H1,14/06/2024,YW_SZ7J,22/11/2023,ZCA9/QG
7/13,GAL/YLP,49.00%,764,89.0%,Metro allocation delta capacity amber scheduling metro compliance silver,V2J0-DB,30/01/2024,2X_3WTK,15/06/2023,H9LC/6N
8/10,7NT/65M,26.20%,170,77.0%,Clear workflow rapid evaluation vector analysis global inspection amber baseline metro distribution rapid,C1NJ-O0,20/12/2024,CS_8MFW,29/12/2023,S6MK/4H
1/8,B2K/XYD,77.02%,2287,28.7%,Global allocation clear planning global reference amber planning,TBOL-ID,28/04/2024,V8_N2T2,26/10/2023,T17B/L0
3/14,WYK/VWF,63.88%,2390,27.7%,Rapid analysis global capacity prime analysis vector documented delta documented vector compliance,XAE1-YB,19/12/2024,9S_Q45R,16/11/2023,TTCI/CH
4/15,ZCW/6NH,63.36%,2699,89.7%,Global workflow prime distribution metro planning clear documented,AEZI-5Y,16/05/2024,9E_3BER,19/05/2023,SF2I/H7
7/15,GBX/5KE,,1989,59.9%,Signal analysis prime tracking metro operation metro tracking amber compliance prime tracking,KP3P-4E,23/08/2024,II_I6CI,12/05/2023,HLYR/SW
4/9,1J2/9U1,49.38%,1832,44.3%,Vector baseline global documented clear allocation urban allocation vector workflow delta documented delta scheduling,OXLX-ZP,18/12/2024,KJ_ZALV,16/09/2023,7S80/WZ
2/10,WKY/4Q7,69.57%,2330,,Prime baseline delta compliance prime planning vector,Z7Q8-2U,16/02/2024,BW_6JAU,20/01/2023,Q2G0/M6
2/8,J77/WLB,42.84%,2282,17.7%,Clear allocation urban consolidated clear baseline silver tracking vector operation,GUMH-CP,06/10/2024,7H_GZQA,19/02/2023,MPUF/NP
3/15,Z7B/C8P,3.97%,1560,36.7%,Prime operation silver scheduling urban capacity global,BLYM-FQ,08/04/2024,ZG_GS6S,28/11/2023,PXDY/IU
3/13,FDL/EGS,41.38%,2533,58.1%,Global allocation north allocation silver planning rapid workflow urban tracking urban planning,MUTM-DP,20/06/2024,X4_52LR,16/10/2023,DT55/ZW
10/15,GP6/PX9,,2426,17.7%,Delta capacity clear allocation amber allocation rapid,X6IG-K9,10/09/2024,UN_YS7K,07/05/2023,SFEA/46
6/14,C82/09X,57.11%,1891,38.7%,Metro reference prime inspection silver documented silver analysis north compliance,7CJV-OV,29/05/2024,GQ_DRK5,05/08/2023,8TUZ/3V
10/13,9VB/T6N,41.37%,1277,80.0%,Silver analysis prime scheduling vector capacity prime baseline metro consolidated silver workflow silver,88H6-35,16/01/2024,1V_Z4NS,19/11/2023,ZUGY/QI
4/10,XLD/K3U,81.73%,2703,7.3%,Silver scheduling clear documented clear evaluation north documented signal operation north baseline,CEDC-OE,30/10/2024,5N_6OES,22/10/2023,3AOV/KW
2/7,5S1/IUF,72.16%,2865,69.7%,Delta scheduling clear planning delta scheduling vector,IAQD-OO,14/03/2024,KU_T99J,07/09/2023,G0PD/0H
10/13,QUO/L94,28.31%,1526,9.1%,Silver workflow prime allocation rapid distribution signal analysis rapid workflow north documented,WJ3H-I0,14/11/2024,4U_LT5M,18/06/2023,IBMQ/WG
8/14,3VM/BNS,40.85%,,51.5%,Delta tracking vector analysis metro consolidated vector operation rapid,D0FC-DH,10/03/2024,9V_OFAN,01/11/2023,332L/TG
5/8,VMG/WL6,59.51%,2306,99.8%,Vector documented amber tracking north workflow,X8SO-86,18/02/2024,,23/08/2023,M5HG/SK
